"lsoa11cd","lsoa11nm","Index.of.Multiple.Deprivation..IMD..Score","Index.of.Multiple.Deprivation..IMD..Rank..where.1.is.most.deprived.","Index.of.Multiple.Deprivation..IMD..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Score..rate.","Income.Rank..where.1.is.most.deprived.","Income.Decile..where.1.is.most.deprived.10..of.LSOAs.","Employment.Score..rate.","Employment.Rank..where.1.is.most.deprived.","Employment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Education..Skills.and.Training.Score","Education..Skills.and.Training.Rank..where.1.is.most.deprived.","Education..Skills.and.Training.Decile..where.1.is.most.deprived.10..of.LSOAs.","Health.Deprivation.and.Disability.Score","Health.Deprivation.and.Disability.Rank..where.1.is.most.deprived.","Health.Deprivation.and.Disability.Decile..where.1.is.most.deprived.10..of.LSOAs.","Crime.Score","Crime.Rank..where.1.is.most.deprived.","Crime.Decile..where.1.is.most.deprived.10..of.LSOAs.","Barriers.to.Housing.and.Services.Score","Barriers.to.Housing.and.Services.Rank..where.1.is.most.deprived.","Barriers.to.Housing.and.Services.Decile..where.1.is.most.deprived.10..of.LSOAs.","Living.Environment.Score","Living.Environment.Rank..where.1.is.most.deprived.","Living.Environment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Children.Index..IDACI..Score..rate.","Income.Deprivation.Affecting.Children.Index..IDACI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Children.Index..IDACI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Older.People..IDAOPI..Score..rate.","Income.Deprivation.Affecting.Older.People..IDAOPI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Older.People..IDAOPI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Children.and.Young.People.Sub.domain.Score","Children.and.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Children.and.Young.People.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Adult.Skills.Sub.domain.Score","Adult.Skills.Sub.domain.Rank..where.1.is.most.deprived.","Adult.Skills.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Indoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Total.population..mid.2012..excluding.prisoners.","Dependent.Children.aged.0.15..mid.2012..excluding.prisoners.","Population.aged.16.59..mid.2012..excluding.prisoners.","Older.population.aged.60.and.over..mid.2012..excluding.prisoners.","Working.age.population.18.59.64..for.use.with.Employment.Deprivation.Domain..excluding.prisoners."
"E01006574","Liverpool 025B",53.493,1665,1,0.368,1363,1,0.308,890,1,37.547,6039,2,1.799,792,1,0.72,6180,2,7.095,31066,10,29.794,8766,3,0.358,4273,2,0.539,510,1,0.434,9625,3,0.455,3777,2,-1.288,31416,10,-0.53,18330,6,0.456,9931,4,0.69,6615,3,1342,282,751,309,737.25
"E01006575","Liverpool 034A",33.393,6760,3,0.202,8199,3,0.184,6076,2,26.396,10192,4,1.13,3499,2,0.716,6225,2,15.235,22741,7,36.748,5854,2,0.254,9050,3,0.24,8990,3,0.6,7571,3,0.323,13511,5,0.13,13599,5,-0.924,20553,7,0.703,6970,3,0.849,5146,2,1324,215,760,349,767.75
"E01006576","Liverpool 034B",16.935,16809,6,0.092,19471,6,0.092,17258,6,11.359,20608,7,0.288,12048,4,0.218,13175,5,10.219,28583,9,42.597,3967,2,0.129,18144,6,0.133,18252,6,-0.406,22562,7,0.287,17505,6,0.025,15392,5,-2.577,28349,9,0.731,6672,3,1.269,2393,1,1719,297,1031,391,1044.75
"E01006577","Liverpool 034C",13.805,19826,7,0.072,23104,8,0.098,16222,5,5.921,26291,9,-0.001,16141,5,0.293,12019,4,7.109,31058,10,35.16,6478,2,0.049,28779,9,0.105,21974,7,-0.762,27127,9,0.234,23581,8,-0.135,18129,6,-4.101,31724,10,0.804,5878,2,0.483,9010,3,1495,249,879,367,872.25
"E01006578","Liverpool 036A",15.993,17639,6,0.092,19529,6,0.1,15883,5,11.464,20512,7,0.512,9273,3,-0.469,23470,8,7.756,30649,10,36.547,5929,2,0.114,19582,6,0.151,16261,5,-0.185,19236,6,0.262,20348,7,-0.266,20417,7,-2.123,26627,9,0.76,6369,2,0.719,6351,2,1356,265,808,283,815.75
"E01006579","Liverpool 034D",11.428,22488,7,0.079,21848,7,0.076,20902,7,6.309,25849,8,-0.006,16208,5,-0.265,20557,7,8.288,30289,10,32.16,7722,3,0.075,24567,8,0.117,20252,7,-1.031,29576,10,0.257,20889,7,-0.105,17630,6,-2.92,29391,9,0.371,11076,4,1.031,3766,2,1656,328,907,421,922.75
"E01006580","Liverpool 036B",11.249,22708,7,0.07,23482,8,0.079,20217,7,3.898,28698,9,0.543,8921,3,0.009,16393,5,8.651,30036,10,13.645,19781,7,0.099,21508,7,0.107,21687,7,-1.014,29451,9,0.212,25973,8,-0.035,16353,5,-3.464,30663,10,-0.603,24768,8,0.459,9358,3,1323,228,782,313,784
"E01006581","Liverpool 036C",8.838,25651,8,0.068,23879,8,0.07,22528,7,3.267,29481,9,-0.191,18984,6,-0.287,20854,7,3.715,32492,10,25.889,10873,4,0.052,28181,9,0.133,18252,6,-1.291,31135,10,0.212,25972,8,-0.77,27586,9,-2.531,28181,9,0.241,12964,4,0.693,6585,3,1556,288,877,391,882
"E01006582","Liverpool 041A",7.184,27764,9,0.048,28343,9,0.064,23935,8,1.95,31026,10,-0.476,22938,7,-0.15,18857,6,6.264,31553,10,25.765,10947,4,0.039,30152,10,0.075,26905,9,-1.274,31061,10,0.174,29247,9,-0.289,20806,7,-3.079,29813,10,0.177,13884,5,0.776,5813,2,1664,316,959,389,951.75
"E01006583","Liverpool 047C",3.028,32090,10,0.021,32419,10,0.031,31701,10,2.46,30417,10,-0.371,21537,7,-1.132,30378,10,10.564,28188,9,10.689,22805,7,0.024,31935,10,0.04,31735,10,-1.169,30502,10,0.184,28473,9,0.067,14680,5,-2.721,28814,9,-0.433,22633,7,-0.041,16751,6,1808,244,1204,360,1185
"E01006584","Liverpool 034E",24.95,10898,4,0.113,16472,6,0.164,7730,3,12.419,19638,6,0.545,8884,3,0.706,6339,2,13.185,25253,8,45.173,3291,2,0.057,27445,9,0.154,15986,5,-0.295,20903,7,0.289,17198,6,0.14,13414,5,-1.779,24984,8,0.932,4682,2,1.079,3464,2,1362,210,784,368,788.75
"E01006585","Liverpool 032B",53.748,1638,1,0.36,1528,1,0.308,902,1,43.339,4510,2,2.078,328,1,0.064,15572,5,14.908,23159,8,27.225,10104,4,0.334,5203,2,0.469,1174,1,0.45,9426,3,0.498,2164,1,-0.296,20938,7,0.335,13744,5,0.29,12237,4,0.739,6159,2,1345,228,771,346,788.75
"E01006586","Liverpool 032C",36.109,5727,2,0.23,6508,2,0.209,4446,2,24.432,11150,4,1.476,1734,1,0.341,11259,4,16.56,21070,7,33.101,7308,3,0.229,10471,4,0.356,3679,2,0.18,13370,5,0.369,9158,3,0.116,13846,5,-0.459,17947,6,0.645,7603,3,0.64,7184,3,1897,286,1215,396,1234
"E01006587","Liverpool 032D",26.84,9804,3,0.177,9985,4,0.175,6801,3,15.978,16700,6,0.89,5289,2,0.359,10985,4,17.58,19824,7,23.462,12340,4,0.157,15624,5,0.243,8821,3,-0.256,20324,7,0.329,12867,4,0.315,10540,4,-1.09,21454,7,0.095,15133,5,0.683,6701,3,1596,261,990,345,1004.25
"E01006588","Liverpool 042C",33.362,6776,3,0.205,8023,3,0.181,6285,2,6.678,25422,8,1.548,1471,1,0.224,13087,4,7.013,31124,10,55.89,1341,1,0.163,15141,5,0.38,2938,1,-0.341,21534,7,0.193,27775,9,-0.65,26210,8,-1.224,22157,7,1.452,1487,1,0.714,6415,2,1502,184,1011,307,1021
"E01006589","Liverpool 041B",12.298,21457,7,0.084,20967,7,0.093,17052,6,7.339,24687,8,0.196,13261,5,-0.24,20196,7,3.325,32583,10,23.091,12568,4,0.08,23934,8,0.121,19651,6,-0.67,26128,8,0.251,21594,7,-0.633,25997,8,-3.613,30949,10,-0.027,16883,6,0.798,5618,2,1529,284,881,364,893
