"lsoa11cd","lsoa11nm","Index.of.Multiple.Deprivation..IMD..Score","Index.of.Multiple.Deprivation..IMD..Rank..where.1.is.most.deprived.","Index.of.Multiple.Deprivation..IMD..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Score..rate.","Income.Rank..where.1.is.most.deprived.","Income.Decile..where.1.is.most.deprived.10..of.LSOAs.","Employment.Score..rate.","Employment.Rank..where.1.is.most.deprived.","Employment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Education..Skills.and.Training.Score","Education..Skills.and.Training.Rank..where.1.is.most.deprived.","Education..Skills.and.Training.Decile..where.1.is.most.deprived.10..of.LSOAs.","Health.Deprivation.and.Disability.Score","Health.Deprivation.and.Disability.Rank..where.1.is.most.deprived.","Health.Deprivation.and.Disability.Decile..where.1.is.most.deprived.10..of.LSOAs.","Crime.Score","Crime.Rank..where.1.is.most.deprived.","Crime.Decile..where.1.is.most.deprived.10..of.LSOAs.","Barriers.to.Housing.and.Services.Score","Barriers.to.Housing.and.Services.Rank..where.1.is.most.deprived.","Barriers.to.Housing.and.Services.Decile..where.1.is.most.deprived.10..of.LSOAs.","Living.Environment.Score","Living.Environment.Rank..where.1.is.most.deprived.","Living.Environment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Children.Index..IDACI..Score..rate.","Income.Deprivation.Affecting.Children.Index..IDACI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Children.Index..IDACI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Older.People..IDAOPI..Score..rate.","Income.Deprivation.Affecting.Older.People..IDAOPI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Older.People..IDAOPI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Children.and.Young.People.Sub.domain.Score","Children.and.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Children.and.Young.People.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Adult.Skills.Sub.domain.Score","Adult.Skills.Sub.domain.Rank..where.1.is.most.deprived.","Adult.Skills.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Indoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Total.population..mid.2012..excluding.prisoners.","Dependent.Children.aged.0.15..mid.2012..excluding.prisoners.","Population.aged.16.59..mid.2012..excluding.prisoners.","Older.population.aged.60.and.over..mid.2012..excluding.prisoners.","Working.age.population.18.59.64..for.use.with.Employment.Deprivation.Domain..excluding.prisoners."
"E01006669","Liverpool 004E",19.204,14869,5,0.135,13958,5,0.122,12247,4,16.523,16232,5,0.627,7931,3,-0.177,19254,6,19.655,17250,6,12.572,20821,7,0.167,14791,5,0.23,9684,3,-0.292,20849,7,0.338,11938,4,0.589,6911,3,-2.18,26876,9,-0.593,24653,8,0.34,10932,4,1498,323,988,187,983.5
"E01006670","Liverpool 007E",20.159,14103,5,0.146,12809,4,0.132,11057,4,12.631,19425,6,1.013,4306,2,-0.257,20457,7,12.723,25786,8,10.228,23313,8,0.163,15100,5,0.195,12314,4,-0.458,23320,8,0.308,15115,5,0.128,13638,5,-1.904,25604,8,-0.642,25204,8,0.109,14339,5,1534,312,974,248,959.25
"E01006671","Liverpool 013D",28.688,8831,3,0.216,7333,3,0.164,7721,3,26.819,9978,4,1.089,3783,2,0.363,10933,4,17.361,20095,7,8.119,25687,8,0.24,9821,3,0.347,3975,2,-0.057,17164,6,0.418,5681,2,0.328,10344,4,-1.251,22281,7,-0.981,28570,9,0.082,14764,5,1374,252,868,254,855.5
"E01006672","Liverpool 010E",54.226,1571,1,0.394,870,1,0.266,1935,1,52.211,2784,1,1.711,995,1,0.726,6109,2,21.412,15060,5,19.095,15301,5,0.487,978,1,0.473,1122,1,0.862,4897,2,0.509,1789,1,0.233,11837,4,0.365,13595,5,-0.068,17492,6,0.478,9075,3,1958,490,1144,324,1110.5
"E01006673","Liverpool 037D",62.858,695,1,0.427,490,1,0.294,1165,1,48.871,3385,2,2.066,347,1,1.181,2096,1,23.3,12840,4,29.229,9042,3,0.489,944,1,0.738,35,1,1.222,2227,1,0.421,5518,2,-0.347,21805,7,2.181,6136,2,0.212,13376,5,1.019,3841,2,2004,453,1300,251,1281.5
"E01006674","Liverpool 039C",71.996,199,1,0.514,74,1,0.373,231,1,48.912,3376,2,2.163,257,1,1.073,2815,1,31.352,5945,2,29.58,8880,3,0.528,495,1,0.701,62,1,0.654,6981,3,0.512,1695,1,0.061,14764,5,2.835,4341,2,0.194,13616,5,1.07,3512,2,1910,544,1087,279,1076.75
"E01006675","Liverpool 043C",58.568,1059,1,0.338,2077,1,0.286,1344,1,20.849,13173,5,2.552,76,1,1.199,1968,1,19.115,17941,6,62.339,648,1,0.541,393,1,0.485,991,1,0.486,8956,3,0.275,18820,6,-0.381,22382,7,1.442,8779,3,1.63,894,1,0.784,5760,2,1888,130,1463,295,1495.75
"E01006676","Liverpool 044D",68.799,330,1,0.498,111,1,0.358,326,1,57.191,2044,1,2.2,231,1,0.781,5453,2,17.438,19992,7,31.155,8164,3,0.499,793,1,0.581,312,1,1.027,3518,2,0.519,1512,1,-0.924,29099,9,1.695,7801,3,0.568,8528,3,0.615,7462,3,1804,476,1081,247,1055.75
"E01006677","Liverpool 043D",74.008,143,1,0.519,67,1,0.385,175,1,72.567,609,1,2.451,109,1,0.983,3517,2,17.877,19457,6,25.512,11077,4,0.511,654,1,0.671,99,1,1.452,1184,1,0.548,818,1,-1.033,29939,10,1.842,7274,3,0.158,14191,5,0.784,5754,2,1029,277,599,153,598.75
"E01006678","Liverpool 044E",59.92,935,1,0.409,657,1,0.337,480,1,40.601,5188,2,2.222,220,1,0.711,6283,2,14.954,23102,8,19.803,14807,5,0.437,1897,1,0.549,446,1,0.692,6565,2,0.446,4207,2,-1.317,31540,10,1.38,9006,3,-0.288,20666,7,0.775,5825,2,2182,361,1399,422,1384.25
"E01006679","Liverpool 039D",71.645,210,1,0.518,68,1,0.375,222,1,60.01,1689,1,2.172,253,1,0.792,5321,2,29.238,7364,3,23.555,12283,4,0.496,835,1,0.71,53,1,1.208,2311,1,0.51,1759,1,-0.88,28728,9,3.742,2558,1,-0.496,23472,8,1.238,2557,1,2245,652,1284,309,1252.5
"E01006680","Liverpool 053B",10.087,24098,8,0.07,23479,8,0.085,18750,6,6.774,25325,8,-0.022,16443,6,-0.609,25295,8,4.5,32276,10,23.312,12426,4,0.05,28502,9,0.114,20606,7,-0.537,24395,8,0.227,24317,8,-0.487,23976,8,-3.264,30246,10,0.23,13119,4,0.471,9165,3,1564,260,882,422,903.75
"E01006681","Liverpool 054D",25.345,10676,4,0.169,10674,4,0.182,6228,2,14.059,18163,6,1.072,3889,2,-0.401,22555,7,8.403,30227,10,25.091,11331,4,0.183,13548,5,0.187,12965,4,-0.455,23265,8,0.324,13331,5,-0.446,23372,8,-1.189,21972,7,0.31,11939,4,0.509,8699,3,1582,229,945,408,957.5
"E01006682","Liverpool 053C",6.127,29037,9,0.033,31189,10,0.06,25088,8,2.915,29903,10,0.006,16046,5,-1.288,31256,10,3.162,32612,10,22.059,13263,5,0.019,32283,10,0.081,25845,8,-1.388,31542,10,0.207,26448,9,-0.616,25769,8,-4.066,31672,10,0.177,13887,5,0.434,9689,3,1290,243,689,358,696.75
"E01006683","Liverpool 053D",9.393,24971,8,0.059,25784,8,0.083,19209,6,4.267,28239,9,0.164,13727,5,-0.871,28217,9,4.7,32212,10,22.557,12930,4,0.037,30441,10,0.098,23048,8,-1.365,31437,10,0.234,23544,8,-0.463,23605,8,-3.234,30184,10,0.162,14124,5,0.505,8746,3,1521,254,883,384,888.25
"E01006684","Liverpool 056B",10.373,23751,8,0.06,25647,8,0.073,21718,7,3.769,28862,9,0.147,13970,5,-0.428,22935,7,16.775,20792,7,25.694,10978,4,0.062,26552,9,0.094,23665,8,-0.63,25629,8,0.159,30186,10,0.485,8145,3,-2.992,29598,10,0.463,9843,3,0.279,11802,4,2187,366,1313,508,1348.25
"E01006685","Liverpool 056C",13.73,19898,7,0.087,20445,7,0.097,16332,5,4.205,28323,9,0.48,9619,3,-0.474,23549,8,4.941,32145,10,30.702,8347,3,0.118,19126,6,0.093,23841,8,-0.943,28852,9,0.214,25803,8,-0.493,24069,8,-2.782,28979,9,0.505,9303,3,0.687,6662,3,1498,222,826,450,851.5
"E01006686","Liverpool 053E",13.513,20142,7,0.084,20944,7,0.097,16306,5,9.3,22566,7,0.566,8629,3,-0.853,28051,9,5.1,32093,10,23.916,12052,4,0.081,23786,8,0.134,18093,6,-0.414,22678,7,0.257,20913,7,-0.466,23662,8,-2.813,29067,9,0.228,13147,5,0.533,8401,3,1407,231,804,372,801.25
"E01006687","Liverpool 056D",20.417,13901,5,0.139,13531,5,0.131,11116,4,6.277,25895,8,0.861,5565,2,0.071,15455,5,21.504,14965,5,14.617,18874,6,0.111,19986,7,0.222,10232,4,-0.378,22146,7,0.19,27984,9,0.64,6365,2,-1.715,24689,8,-0.278,20522,7,0.261,12041,4,2056,309,1238,509,1305.75
"E01006688","Liverpool 056E",21.398,13167,5,0.138,13606,5,0.142,9852,3,10.17,21691,7,0.767,6426,2,-0.527,24234,8,8.039,30456,10,39.128,4994,2,0.132,17812,6,0.201,11793,4,-0.251,20234,7,0.25,21699,7,-0.392,22544,7,-1.484,23527,8,0.927,4713,2,0.563,8033,3,1547,259,924,364,946
"E01006689","Liverpool 049D",11.96,21851,7,0.086,20584,7,0.087,18264,6,2.344,30554,10,0.224,12890,4,-0.706,26478,9,12.708,25805,8,28.198,9575,3,0.089,22690,7,0.189,12790,4,-1.386,31531,10,0.192,27825,9,0.176,12822,4,-2.27,27242,9,0.506,9288,3,0.452,9431,3,1641,288,997,356,991.5
"E01006690","Liverpool 028A",60.151,920,1,0.352,1716,1,0.312,823,1,52.625,2714,1,1.63,1213,1,1.025,3163,1,14.848,23247,8,59.426,934,1,0.409,2570,1,0.415,2127,1,1.235,2151,1,0.451,3988,2,-0.761,27492,9,1.018,10474,4,1.456,1470,1,1.004,3964,2,1499,200,1069,230,1077.75
"E01006691","Liverpool 030A",69.582,282,1,0.442,374,1,0.314,781,1,55.734,2238,1,1.973,488,1,1.163,2197,1,13.972,24339,8,66.921,320,1,0.488,962,1,0.395,2533,1,1.259,2031,1,0.471,3106,1,-1.838,32635,10,1.256,9507,3,1.63,895,1,1.159,2970,1,1495,366,930,199,926.25
"E01006692","Liverpool 028B",57.995,1118,1,0.378,1181,1,0.302,1021,1,41.995,4816,2,1.876,636,1,0.42,10128,4,16.735,20843,7,55.902,1340,1,0.464,1362,1,0.404,2361,1,0.898,4588,2,0.424,5296,2,-0.193,19211,6,0.541,12725,4,1.467,1432,1,0.673,6814,3,2267,469,1420,378,1400.25
"E01006693","Liverpool 024D",68.732,333,1,0.392,907,1,0.369,253,1,48.175,3514,2,2.602,61,1,1.445,883,1,16.719,20862,7,43.035,3838,2,0.386,3316,2,0.45,1471,1,0.243,12418,4,0.545,877,1,-0.53,24595,8,1.162,9909,4,0.943,4607,2,0.881,4871,2,1552,171,842,539,889.75
"E01006694","Liverpool 030B",60.229,913,1,0.391,930,1,0.274,1685,1,46.911,3767,2,1.567,1404,1,1.043,3034,1,14.374,23824,8,70.379,204,1,0.495,846,1,0.359,3601,2,0.944,4181,2,0.459,3634,2,-1.312,31523,10,1.257,9499,3,2.007,277,1,0.64,7182,3,1883,383,1252,248,1251.75
"E01006695","Liverpool 028C",74.087,141,1,0.454,284,1,0.427,67,1,33.984,7170,3,2.726,42,1,1.527,687,1,18.275,18964,6,55.529,1386,1,0.441,1823,1,0.449,1479,1,0.539,8291,3,0.41,6182,2,-0.594,25470,8,1.565,8296,3,1.438,1531,1,0.712,6427,2,1797,265,1331,201,1343.75
"E01006696","Liverpool 030C",56.236,1311,1,0.348,1821,1,0.273,1718,1,43.426,4489,2,1.966,499,1,1.17,2170,1,12.845,25638,8,48.033,2653,1,0.34,4945,2,0.417,2089,1,0.62,7372,3,0.479,2822,1,-0.845,28370,9,0.659,12153,4,1.144,3112,1,0.848,5156,2,1831,394,1124,313,1165.75
"E01006697","Liverpool 030D",63.188,673,1,0.386,1027,1,0.279,1561,1,50.051,3158,1,1.688,1048,1,1.418,975,1,13.73,24611,8,70.121,209,1,0.37,3863,2,0.392,2647,1,1.118,2860,1,0.452,3905,2,-1.195,30947,10,1.072,10264,4,1.806,523,1,1.012,3901,2,1819,387,1157,275,1158.75
"E01006698","Liverpool 012D",49.944,2229,1,0.31,2963,1,0.232,3247,1,32.537,7645,3,1.602,1299,1,1.111,2519,1,7.537,30798,10,65.274,427,1,0.461,1410,1,0.296,6035,2,-0.081,17576,6,0.469,3202,1,-1.264,31317,10,-0.409,17680,6,1.552,1141,1,1.235,2568,1,1714,385,1034,295,1016.5
"E01006699","Liverpool 014A",71.175,224,1,0.437,411,1,0.39,143,1,60.662,1612,1,2.879,23,1,1.237,1758,1,13.68,24676,8,29.133,9092,3,0.538,413,1,0.421,2017,1,0.58,7814,3,0.593,258,1,-0.818,28113,9,0.827,11377,4,0.243,12934,4,0.967,4186,2,1641,326,1000,315,1016.75
"E01006700","Liverpool 012E",69.459,292,1,0.383,1090,1,0.324,642,1,44.505,4268,2,2.271,185,1,1.846,207,1,11.447,27204,9,69.151,235,1,0.435,1929,1,0.473,1114,1,0.323,11256,4,0.517,1547,1,-0.813,28066,9,0.297,13930,5,1.538,1177,1,1.579,1298,1,1455,275,871,309,870.5
"E01006701","Liverpool 014B",57.095,1215,1,0.306,3126,1,0.292,1217,1,37.204,6142,2,2.072,338,1,1.698,379,1,13.085,25370,8,45.489,3220,1,0.418,2332,1,0.32,4996,2,0.143,13983,5,0.485,2594,1,-0.491,24025,8,0.27,14082,5,0.753,6442,2,1.464,1638,1,1394,210,868,316,883
"E01006702","Liverpool 014C",67.568,391,1,0.456,274,1,0.363,293,1,62.738,1367,1,2.004,441,1,0.791,5337,2,12.824,25662,8,33.308,7222,3,0.609,122,1,0.434,1736,1,1.016,3599,2,0.552,745,1,-0.908,28965,9,0.708,11920,4,0.52,9114,3,0.887,4820,2,1620,363,929,328,947
"E01006703","Liverpool 014D",74.826,111,1,0.457,265,1,0.415,85,1,61.061,1563,1,2.612,58,1,1.517,713,1,15.6,22305,7,35.016,6549,2,0.578,218,1,0.457,1357,1,0.732,6154,2,0.576,402,1,-0.454,23478,8,0.8,11498,4,0.147,14360,5,1.571,1320,1,1628,246,957,425,988.5
"E01006705","Liverpool 009E",64.192,591,1,0.38,1152,1,0.302,1011,1,27.753,9529,3,2.116,295,1,1.627,486,1,10.211,28592,9,71.249,176,1,0.552,333,1,0.279,6840,3,-0.195,19403,6,0.438,4568,2,-1.223,31105,10,0.281,14019,5,1.629,898,1,1.505,1495,1,1421,254,950,217,938
"E01006706","Liverpool 045A",67.634,387,1,0.44,385,1,0.358,321,1,78.66,342,1,2.065,351,1,-0.177,19253,6,31.456,5871,2,10.881,22589,7,0.552,333,1,0.438,1664,1,1.435,1255,1,0.591,274,1,0.587,6934,3,1.298,9325,3,-0.691,25752,8,0.225,12571,4,1337,254,751,332,730.25
"E01006707","Liverpool 045B",61.938,765,1,0.417,576,1,0.353,357,1,65.732,1092,1,2.129,286,1,-0.064,17529,6,16.135,21609,7,10.467,23050,8,0.453,1545,1,0.468,1188,1,1.099,3003,1,0.559,633,1,-0.46,23562,8,0.925,10916,4,-0.905,27944,9,0.317,11255,4,1297,242,687,368,687
"E01006708","Liverpool 045C",43.74,3479,2,0.284,3970,2,0.232,3269,1,45.967,3959,2,1.887,620,1,0.484,9256,3,18.654,18493,6,13.306,20121,7,0.286,7353,3,0.415,2136,1,1.162,2577,1,0.407,6335,2,0.196,12487,4,-0.189,16499,6,-0.531,23942,8,0.371,10506,4,1848,386,1058,404,1047.5
"E01006709","Liverpool 040A",44.226,3358,2,0.313,2862,1,0.259,2169,1,48.164,3518,2,1.623,1232,1,-0.198,19576,6,13.452,24937,8,17.674,16352,5,0.401,2795,1,0.386,2789,1,1.063,3233,1,0.447,4158,2,-0.401,22672,7,0.195,14450,5,-0.137,18499,6,0.423,9825,3,1429,224,869,336,876.25
"E01006710","Liverpool 045D",38.787,4867,2,0.246,5680,2,0.204,4778,2,38.447,5784,2,1.199,3062,1,-0.849,27999,9,34.27,4348,2,37.862,5421,2,0.37,3839,2,0.224,10071,4,0.663,6902,3,0.432,4905,2,1.092,2916,1,-0.17,16381,5,1.01,4102,2,0.235,12426,4,1506,308,877,321,867.75
"E01006711","Liverpool 027A",54.059,1591,1,0.289,3761,2,0.285,1389,1,29.88,8634,3,1.993,455,1,0.885,4439,2,9.27,29488,9,71.868,153,1,0.276,7895,3,0.409,2248,1,0.435,9616,3,0.386,7771,3,-1.241,31208,10,0.054,15200,5,1.933,351,1,0.899,4706,2,1494,302,939,253,938.75
"E01006712","Liverpool 029D",37.237,5366,2,0.231,6483,2,0.181,6321,2,23.461,11657,4,1.283,2609,1,0.446,9767,3,5.419,31959,10,64.307,486,1,0.324,5623,2,0.295,6118,2,0.046,15485,5,0.375,8616,3,-1.022,29860,10,-1.273,22389,7,1.708,724,1,0.768,5874,2,1355,294,788,273,795.25
"E01006713","Liverpool 029E",38.021,5123,2,0.223,6888,3,0.192,5558,2,26.015,10360,4,1.083,3825,2,0.533,8572,3,5.299,32016,10,71.25,175,1,0.274,8037,3,0.24,9006,3,0.187,13265,5,0.383,7989,3,-0.915,29024,9,-1.437,23283,8,1.822,493,1,1.063,3555,2,1381,283,807,291,808.5
"E01006716","Liverpool 032E",48.857,2445,1,0.292,3663,2,0.24,2862,1,39.157,5552,2,2.011,429,1,0.899,4290,2,14.741,23388,8,43.506,3704,2,0.299,6716,3,0.387,2746,1,0.599,7584,3,0.447,4159,2,-0.263,20357,7,0.215,14353,5,0.961,4465,2,0.884,4848,2,1580,319,970,291,971
"E01006717","Liverpool 027D",31.074,7722,3,0.177,10029,4,0.172,7034,3,14.551,17785,6,0.926,4993,2,1.26,1640,1,7.225,30992,10,38.369,5250,2,0.218,11190,4,0.207,11314,4,-0.452,23238,8,0.33,12770,4,-0.37,22188,7,-1.923,25688,8,0.836,5558,2,0.708,6463,2,1426,269,876,281,870.25
"E01006718","Liverpool 027E",35.843,5828,2,0.228,6598,3,0.191,5630,2,20.1,13688,5,1.016,4277,2,0.594,7761,3,8.167,30370,10,60.895,784,1,0.27,8201,3,0.27,7318,3,-0.083,17616,6,0.356,10256,4,-0.646,26154,8,-0.834,20043,7,1.628,899,1,0.656,6986,3,1588,305,947,336,950.25
"E01006719","Liverpool 027F",29.284,8572,3,0.196,8632,3,0.145,9558,3,18.56,14769,5,0.798,6129,2,0.523,8711,3,5.222,32043,10,54.312,1553,1,0.286,7322,3,0.251,8324,3,-0.207,19589,6,0.352,10583,4,-1.334,31595,10,-1.104,21526,7,1.384,1786,1,0.77,5863,2,1505,312,903,290,903.5
"E01006720","Liverpool 035A",61.326,807,1,0.382,1118,1,0.25,2495,1,63.317,1313,1,2.104,306,1,1.011,3280,1,14.152,24109,8,57.658,1146,1,0.495,840,1,0.454,1392,1,1.767,409,1,0.431,4936,2,-1.523,32177,10,1.259,9490,3,1.349,1945,1,1.133,3111,1,1990,421,1410,159,1384.5
"E01006721","Liverpool 038C",58.492,1071,1,0.383,1099,1,0.281,1493,1,58.343,1890,1,1.908,584,1,0.554,8289,3,15.454,22466,7,47.587,2755,1,0.571,240,1,0.448,1494,1,1.814,345,1,0.376,8523,3,-0.796,27876,9,1.194,9774,3,1.142,3130,1,0.817,5431,2,1699,291,1173,235,1153.75
"E01006722","Liverpool 038D",31.175,7674,3,0.174,10272,4,0.098,16183,5,38.888,5642,2,1.281,2630,1,0.514,8843,3,14.687,23455,8,51.359,2026,1,0.394,3020,1,0.36,3546,2,1.21,2292,1,0.324,13401,5,-1.906,32687,10,1.411,8893,3,1.325,2087,1,0.68,6739,3,1846,213,1500,133,1488.5
"E01006723","Liverpool 038E",37.575,5271,2,0.204,8112,3,0.144,9619,3,33.261,7415,3,1.584,1354,1,0.465,9509,3,12.866,25616,8,64.18,497,1,0.492,887,1,0.351,3830,2,1.086,3092,1,0.291,17005,6,-2.105,32787,10,1.021,10460,4,1.716,704,1,0.734,6207,2,1894,192,1474,228,1460.25
"E01006724","Liverpool 038F",16.505,17199,6,0.088,20261,7,0.058,25533,8,12.132,19901,7,0.519,9198,3,0.371,10807,4,13.959,24354,8,43.262,3766,2,0.25,9252,3,0.161,15292,5,-0.073,17427,6,0.255,21161,7,-0.929,29144,9,0.967,10692,4,1.072,3598,2,0.6,7617,3,1753,130,1445,178,1464.75
"E01006725","Liverpool 035B",41.576,4038,2,0.284,3986,2,0.221,3815,2,36.946,6218,2,1.635,1198,1,-0.025,16950,6,12.568,25981,8,41.726,4213,2,0.337,5064,2,0.367,3318,2,1.008,3662,2,0.353,10462,4,-0.427,23084,8,0.027,15357,5,0.959,4478,2,0.735,6192,2,1541,276,974,291,971.5
"E01006726","Liverpool 035C",40.186,4456,2,0.275,4325,2,0.181,6336,2,40.967,5085,2,1.191,3118,1,0.853,4724,2,11.198,27510,9,47.334,2816,1,0.515,610,1,0.327,4727,2,1.137,2734,1,0.364,9501,3,-0.986,29604,10,0.386,13494,5,1.225,2609,1,0.577,7883,3,1638,263,1191,184,1179.25
"E01006727","Liverpool 035D",34.773,6236,2,0.195,8674,3,0.173,6942,3,23.129,11848,4,0.807,6048,2,0.53,8616,3,15.017,23038,8,71.133,180,1,0.291,7124,3,0.227,9898,4,0.395,10193,4,0.323,13519,5,-0.082,17206,6,-0.205,16581,6,1.908,377,1,0.882,4864,2,1453,242,964,247,978.25
"E01006728","Liverpool 035E",60.222,914,1,0.379,1172,1,0.269,1840,1,56.153,2165,1,2.218,221,1,0.468,9473,3,13.932,24381,8,61.975,685,1,0.479,1098,1,0.457,1348,1,1.329,1704,1,0.462,3502,2,-1.004,29735,10,1.012,10500,4,1.696,742,1,0.579,7854,3,1646,306,1099,241,1111.75
"E01006729","Liverpool 008C",53.95,1611,1,0.381,1138,1,0.281,1488,1,54.529,2421,1,1.744,899,1,0.609,7552,3,13.184,25254,8,24.255,11856,4,0.463,1380,1,0.461,1291,1,0.889,4664,2,0.52,1467,1,-0.719,27000,9,0.605,12397,4,0.147,14358,5,0.684,6692,3,1359,360,762,237,753.25
"E01006730","Liverpool 011C",56.061,1336,1,0.361,1521,1,0.318,722,1,55.571,2264,1,1.867,653,1,0.363,10931,4,12.529,26027,8,29.733,8808,3,0.347,4694,2,0.437,1673,1,0.745,6037,2,0.542,935,1,-0.661,26329,9,0.387,13490,5,0.355,11299,4,0.854,5111,2,1333,283,777,273,762.25
"E01006731","Liverpool 011D",54.228,1570,1,0.347,1830,1,0.313,798,1,49.775,3210,1,2.014,426,1,0.42,10129,4,11.393,27270,9,24.392,11772,4,0.36,4215,2,0.434,1738,1,0.795,5543,2,0.502,2016,1,-0.635,26016,8,0.071,15116,5,0.255,12775,4,0.538,8344,3,1185,267,689,229,688.5
"E01006732","Liverpool 011E",62.913,690,1,0.482,156,1,0.329,566,1,55.73,2240,1,1.791,806,1,0.421,10126,4,19.737,17146,6,22.64,12865,4,0.605,133,1,0.417,2080,1,0.814,5343,2,0.535,1078,1,-0.213,19538,6,1.249,9537,3,-0.28,20548,7,1.007,3939,2,1683,478,933,272,902.25
"E01006734","Liverpool 005C",62.969,684,1,0.444,359,1,0.332,535,1,48.265,3497,2,2.134,285,1,0.926,4057,2,15.925,21885,7,18.831,15512,5,0.565,265,1,0.498,841,1,0.913,4435,2,0.475,2994,1,-0.514,24354,8,0.955,10756,4,0.018,16270,5,0.343,10900,4,1405,344,816,245,811
"E01006735","Liverpool 005D",61.289,808,1,0.424,506,1,0.327,587,1,51.445,2914,1,1.944,534,1,0.779,5475,2,16.237,21483,7,23.244,12460,4,0.521,554,1,0.513,727,1,0.427,9745,3,0.548,812,1,-0.112,17756,6,0.202,14407,5,0.107,14964,5,0.649,7069,3,1275,262,754,259,762
"E01006736","Liverpool 005E",47.699,2651,1,0.353,1698,1,0.258,2200,1,45.908,3970,2,1.533,1514,1,0.388,10560,4,15.68,22196,7,23.341,12406,4,0.505,716,1,0.425,1920,1,0.402,10105,4,0.519,1511,1,0.004,15735,5,-0.296,17090,6,0.239,12997,4,0.462,9303,3,1481,290,924,267,910.75
"E01006737","Liverpool 005F",48.435,2524,1,0.318,2705,1,0.272,1760,1,47.2,3699,2,1.917,569,1,0.269,12389,4,16.987,20539,7,20.396,14370,5,0.363,4120,2,0.452,1437,1,0.591,7685,3,0.508,1822,1,-0.034,16331,5,0.159,14651,5,0.04,15965,5,0.472,9155,3,1432,273,875,284,863.25
"E01006738","Liverpool 058A",49.113,2391,1,0.331,2307,1,0.264,1984,1,53.736,2532,1,1.504,1628,1,0.167,13921,5,15.616,22281,7,38.78,5103,2,0.451,1589,1,0.374,3128,1,0.615,7432,3,0.545,887,1,-0.278,20623,7,0.47,13097,4,1.007,4116,2,0.343,10905,4,1496,305,881,310,878
"E01006739","Liverpool 058B",57.684,1142,1,0.44,382,1,0.331,548,1,61.31,1532,1,1.462,1787,1,-0.174,19198,6,13.298,25112,8,16.103,17585,6,0.588,179,1,0.431,1789,1,1.022,3546,2,0.543,918,1,-1.207,31018,10,0.978,10648,4,0.042,15940,5,-0.02,16401,5,1731,400,1017,314,1003.75
"E01006740","Liverpool 057A",55.372,1418,1,0.359,1571,1,0.283,1438,1,60.96,1573,1,1.824,738,1,0.713,6253,2,18.028,19294,6,25.213,11265,4,0.454,1536,1,0.45,1456,1,0.953,4110,2,0.55,787,1,-0.259,20289,7,0.962,10715,4,0.261,12698,4,0.607,7546,3,1357,277,824,256,829
"E01006741","Liverpool 058C",51.63,1941,1,0.325,2492,1,0.287,1330,1,60.351,1651,1,1.693,1038,1,0.356,11025,4,10.402,28365,9,31.516,7999,3,0.378,3547,2,0.389,2700,1,0.914,4433,2,0.551,768,1,-1.057,30101,10,0.237,14248,5,0.507,9276,3,0.756,5983,2,1841,354,1141,346,1118.75
"E01006742","Liverpool 057B",35.607,5914,2,0.233,6332,2,0.199,5121,2,27.428,9693,3,1.31,2464,1,0.302,11884,4,10.298,28497,9,43.008,3849,2,0.261,8644,3,0.34,4210,2,0.361,10685,4,0.374,8744,3,-0.312,21213,7,-0.909,20464,7,1.067,3646,2,0.593,7693,3,1411,262,858,291,872.75
"E01006743","Liverpool 058D",31.889,7364,3,0.22,7110,3,0.166,7528,3,31.255,8089,3,1.474,1739,1,-0.44,23085,8,12.947,25524,8,30.41,8480,3,0.308,6275,2,0.317,5144,2,0.432,9656,3,0.4,6818,3,-0.43,23131,8,0.125,14815,5,0.556,8674,3,0.568,7990,3,2159,449,1403,307,1401
"E01006744","Liverpool 057C",35.893,5810,2,0.24,6010,2,0.191,5623,2,27.029,9880,4,1.106,3661,2,0.429,10010,4,11.647,26984,9,51.049,2075,1,0.306,6363,2,0.319,5061,2,0.556,8069,3,0.337,11991,4,-0.391,22521,7,-0.296,17092,6,1.419,1615,1,0.344,10879,4,1525,282,979,264,990.5
